YYY;IRRRE;IRRRI;Value
2023;DE4-N;SE4;313982.9787
2023;DE4-S;DE4-E;59700
2023;DE4-S;DE4-W;74420.42553
2023;DE4-S;BE;139871.0106
2023;DE4-S;FR;297091.2766
2023;DE4-S;CH;71768.29787
2023;DE4-S;AT;82345.21277
2023;DE4-S;CZ;208034.0426
2023;DE4-W;DE4-E;94348.40426
2023;DE4-W;DE4-N;49606.2766
2023;DE4-W;DE4-S;74420.42553
2023;DE4-W;NL;111523.4043
2023;DE4-W;BE;98392.02128
2023;NL;DK1;84700
2023;NL;DE4-W;111523.4043
2023;NL;UK;112125
2023;NL;BE;95825.10638
2023;NO1;NO2;127608.5106
2023;NO1;NO3;126536.1702
2023;NO1;NO5;105625.5319
2023;NO1;SE3;144229.7872
2023;NO2;DK1;236519.1489
2023;NO2;DE4-N;100450
2023;NO2;NO1;127608.5106
2023;NO2;NO5;90076.59574
2023;NO2;UK;112700
2023;NO3;NO1;126536.1702
2023;NO3;NO4;438587.234
2023;NO3;NO5;138331.9149
2023;NO3;SE2;180153.1915
2023;NO4;FIN;314731.9149
2023;NO4;NO3;438587.234
2023;NO4;SE1;134578.7234
2023;NO4;SE2;342076.5957
2023;NO5;NO1;105625.5319
2023;NO5;NO2;90076.59574
2023;NO5;NO3;138331.9149
2023;SE1;FIN;206425.5319
2023;SE1;NO4;134578.7234
