CCCRRRAAA;TECH_GROUP;SUBTECH_GROUP;Value
SE4;WINDTURBINE_OFFSHORE;RG3_OFF4;0
SE4;WINDTURBINE_OFFSHORE;RG1_OFF5;0
SE4;WINDTURBINE_OFFSHORE;RG2_OFF5;0
SE4;WINDTURBINE_OFFSHORE;RG3_OFF5;0
UK;SOLARPV;RG1;27251.34
UK;SOLARPV;RG2;81754.02
UK;SOLARPV;RG3;163508.04
NL;WINDTURBINE_ONSHORE;RG2;4120
IT;WINDTURBINE_ONSHORE;RG1;3869.2
AT;WINDTURBINE_ONSHORE;RG2;3860.4
UK;WINDTURBINE_OFFSHORE;RG1_OFF1;0
UK;WINDTURBINE_OFFSHORE;RG2_OFF1;150000
UK;WINDTURBINE_OFFSHORE;RG3_OFF1;0
UK;WINDTURBINE_OFFSHORE;RG1_OFF2;0
UK;WINDTURBINE_OFFSHORE;RG2_OFF2;2176
UK;WINDTURBINE_OFFSHORE;RG1_OFF3;108
UK;WINDTURBINE_OFFSHORE;RG2_OFF3;4030
UK;WINDTURBINE_OFFSHORE;RG1_OFF4;0
UK;WINDTURBINE_OFFSHORE;RG2_OFF4;2285
UK;WINDTURBINE_OFFSHORE;RG1_OFF5;200
UK;WINDTURBINE_OFFSHORE;RG2_OFF5;7079.6
EE;SOLARPV;RG1;13019.025
EE;SOLARPV;RG2;13019.025
EE;SOLARPV;RG3;0
SE1;WINDTURBINE_ONSHORE;RG2;3573.573574
BE;WINDTURBINE_ONSHORE;RG2;3560
HR;WINDTURBINE_ONSHORE;RG3;3450
EE;WINDTURBINE_OFFSHORE;RG1_OFF1;0
EE;WINDTURBINE_OFFSHORE;RG2_OFF1;18700
EE;WINDTURBINE_OFFSHORE;RG3_OFF1;0
EE;WINDTURBINE_OFFSHORE;RG1_OFF2;0
EE;WINDTURBINE_OFFSHORE;RG2_OFF2;0
EE;WINDTURBINE_OFFSHORE;RG3_OFF2;0
EE;WINDTURBINE_OFFSHORE;RG1_OFF3;0
EE;WINDTURBINE_OFFSHORE;RG2_OFF3;0
EE;WINDTURBINE_OFFSHORE;RG3_OFF3;0
EE;WINDTURBINE_OFFSHORE;RG1_OFF4;0
EE;WINDTURBINE_OFFSHORE;RG2_OFF4;0
EE;WINDTURBINE_OFFSHORE;RG3_OFF4;0
EE;WINDTURBINE_OFFSHORE;RG1_OFF5;0
EE;WINDTURBINE_OFFSHORE;RG2_OFF5;0
EE;WINDTURBINE_OFFSHORE;RG3_OFF5;0
LV;SOLARPV;RG1;22873.5
LV;SOLARPV;RG2;22873.5
LV;SOLARPV;RG3;0
DE4-E;WINDTURBINE_ONSHORE;RG1;3274.078311
DE4-W;WINDTURBINE_ONSHORE;RG1;3208.944127
DK2;WINDTURBINE_ONSHORE;RG3;2968.858131
LV;WINDTURBINE_OFFSHORE;RG1_OFF1;0
LV;WINDTURBINE_OFFSHORE;RG2_OFF1;12800
LV;WINDTURBINE_OFFSHORE;RG3_OFF1;0
LV;WINDTURBINE_OFFSHORE;RG1_OFF2;0
LV;WINDTURBINE_OFFSHORE;RG2_OFF2;0
LV;WINDTURBINE_OFFSHORE;RG3_OFF2;0
LV;WINDTURBINE_OFFSHORE;RG1_OFF3;0
LV;WINDTURBINE_OFFSHORE;RG2_OFF3;0
LV;WINDTURBINE_OFFSHORE;RG3_OFF3;0
LV;WINDTURBINE_OFFSHORE;RG1_OFF4;0
LV;WINDTURBINE_OFFSHORE;RG2_OFF4;0
LV;WINDTURBINE_OFFSHORE;RG3_OFF4;0
LV;WINDTURBINE_OFFSHORE;RG1_OFF5;0
LV;WINDTURBINE_OFFSHORE;RG2_OFF5;0
LV;WINDTURBINE_OFFSHORE;RG3_OFF5;0
LT;SOLARPV;RG1;44821.35
LT;SOLARPV;RG2;44821.35
LT;SOLARPV;RG3;0
DE4-S;WINDTURBINE_ONSHORE;RG1;2909.326881
NO4;WINDTURBINE_ONSHORE;RG3;2796.728972
HR;WINDTURBINE_ONSHORE;RG2;2760
LT;WINDTURBINE_OFFSHORE;RG1_OFF1;0
LT;WINDTURBINE_OFFSHORE;RG2_OFF1;2000
LT;WINDTURBINE_OFFSHORE;RG3_OFF1;0
LT;WINDTURBINE_OFFSHORE;RG1_OFF2;0
LT;WINDTURBINE_OFFSHORE;RG2_OFF2;0
LT;WINDTURBINE_OFFSHORE;RG3_OFF2;0
LT;WINDTURBINE_OFFSHORE;RG1_OFF3;0
LT;WINDTURBINE_OFFSHORE;RG2_OFF3;0
LT;WINDTURBINE_OFFSHORE;RG3_OFF3;0
LT;WINDTURBINE_OFFSHORE;RG1_OFF4;0
LT;WINDTURBINE_OFFSHORE;RG2_OFF4;0
LT;WINDTURBINE_OFFSHORE;RG3_OFF4;0
LT;WINDTURBINE_OFFSHORE;RG1_OFF5;0
LT;WINDTURBINE_OFFSHORE;RG2_OFF5;0
LT;WINDTURBINE_OFFSHORE;RG3_OFF5;0
PL;SOLARPV;RG1;30000.85
PL;SOLARPV;RG2;50000.85
PL;SOLARPV;RG3;0
DK1;WINDTURBINE_ONSHORE;RG2;2424.913495
PT;WINDTURBINE_ONSHORE;RG1;2400
DE4-N;WINDTURBINE_ONSHORE;RG3;2388.25341
PL;WINDTURBINE_OFFSHORE;RG1_OFF1;0
PL;WINDTURBINE_OFFSHORE;RG2_OFF1;11000
PL;WINDTURBINE_OFFSHORE;RG3_OFF1;0
PL;WINDTURBINE_OFFSHORE;RG1_OFF2;0
PL;WINDTURBINE_OFFSHORE;RG2_OFF2;0
PL;WINDTURBINE_OFFSHORE;RG3_OFF2;0
PL;WINDTURBINE_OFFSHORE;RG1_OFF3;0
PL;WINDTURBINE_OFFSHORE;RG2_OFF3;0
PL;WINDTURBINE_OFFSHORE;RG3_OFF3;0
PL;WINDTURBINE_OFFSHORE;RG1_OFF4;0
PL;WINDTURBINE_OFFSHORE;RG2_OFF4;0
PL;WINDTURBINE_OFFSHORE;RG3_OFF4;0
PL;WINDTURBINE_OFFSHORE;RG1_OFF5;0
PL;WINDTURBINE_OFFSHORE;RG2_OFF5;0
PL;WINDTURBINE_OFFSHORE;RG3_OFF5;0
BE;SOLARPV;RG1;10000.55
BE;SOLARPV;RG2;19229.55
BE;SOLARPV;RG3;0
LV;WINDTURBINE_ONSHORE;RG1;2330
NO4;WINDTURBINE_ONSHORE;RG2;2237.383178
LT;WINDTURBINE_ONSHORE;RG1;2140
BE;WINDTURBINE_OFFSHORE;RG1_OFF1;0
BE;WINDTURBINE_OFFSHORE;RG2_OFF1;7900
BE;WINDTURBINE_OFFSHORE;RG3_OFF1;0
BE;WINDTURBINE_OFFSHORE;RG1_OFF2;0
BE;WINDTURBINE_OFFSHORE;RG2_OFF2;0
BE;WINDTURBINE_OFFSHORE;RG3_OFF2;0
BE;WINDTURBINE_OFFSHORE;RG1_OFF3;0
BE;WINDTURBINE_OFFSHORE;RG2_OFF3;0
BE;WINDTURBINE_OFFSHORE;RG3_OFF3;0
BE;WINDTURBINE_OFFSHORE;RG1_OFF4;0
BE;WINDTURBINE_OFFSHORE;RG2_OFF4;0
BE;WINDTURBINE_OFFSHORE;RG3_OFF4;0
BE;WINDTURBINE_OFFSHORE;RG1_OFF5;0
BE;WINDTURBINE_OFFSHORE;RG2_OFF5;0
BE;WINDTURBINE_OFFSHORE;RG3_OFF5;0
FR;SOLARPV;RG1;35136.78449
FR;SOLARPV;RG2;105410.3535
FR;SOLARPV;RG3;230820.707
RO;WINDTURBINE_ONSHORE;RG1;2040
SE4;WINDTURBINE_ONSHORE;RG3;2016.704204
DE4-N;WINDTURBINE_ONSHORE;RG2;1910.602728
FR;WINDTURBINE_OFFSHORE;RG1_OFF1;0
FR;WINDTURBINE_OFFSHORE;RG2_OFF1;53300
FR;WINDTURBINE_OFFSHORE;RG3_OFF1;0
FR;WINDTURBINE_OFFSHORE;RG1_OFF2;0
FR;WINDTURBINE_OFFSHORE;RG2_OFF2;0
FR;WINDTURBINE_OFFSHORE;RG3_OFF2;0
FR;WINDTURBINE_OFFSHORE;RG1_OFF3;0
FR;WINDTURBINE_OFFSHORE;RG2_OFF3;0
FR;WINDTURBINE_OFFSHORE;RG3_OFF3;0
FR;WINDTURBINE_OFFSHORE;RG1_OFF4;0
FR;WINDTURBINE_OFFSHORE;RG2_OFF4;0
FR;WINDTURBINE_OFFSHORE;RG3_OFF4;0
FR;WINDTURBINE_OFFSHORE;RG1_OFF5;0
FR;WINDTURBINE_OFFSHORE;RG2_OFF5;0
FR;WINDTURBINE_OFFSHORE;RG3_OFF5;0
IT;SOLARPV;RG1;33366.28711
IT;SOLARPV;RG2;100098.8613
IT;SOLARPV;RG3;150197.7226
