YYY;IRRRE;IRRRI;Value
2015;PL;DE4-E;568371
2015;PL;SE4;862400
2015;PL;LT;568371
2015;PL;CZ;177364
2015;PL;SK;403539.6641
2015;BE;DE4-S;539000
2015;BE;DE4-W;568371
2015;BE;NL;450800
2015;BE;UK;401800
2015;BE;FR;568400
2015;BE;LU;190597.0228
2015;FR;DE4-S;568400
2015;FR;UK;735000
2015;FR;BE;568400
2015;FR;IT;735000
2015;FR;CH;278716
2015;FR;ES;735000
2015;FR;LU;491522.6477
2015;IT;FR;735000
2015;IT;CH;931165
2015;IT;AT;487753
2015;IT;SI;427272.9872
2015;IT;HR;549476.7599
2015;IT;GR;1390500
2015;IT;AL;968133
2015;IT;ME;857266.4755
2015;IT;MT;1182545
2015;CH;DE4-S;126689
2015;CH;FR;278716
2015;CH;IT;931165
2015;CH;AT;931165
2015;AT;DE4-S;487753
2015;AT;IT;487753
2015;AT;CH;931165
2015;AT;CZ;278716
2015;AT;SK;548138.9037
2015;AT;HU;592299.6108
2015;AT;SI;215686.1224
2015;CZ;DE4-E;304054
2015;CZ;DE4-S;430743
2015;CZ;PL;177364
2015;CZ;AT;278716
2015;CZ;SK;315477.81
2015;ES;FR;735000
2015;ES;PT;568400
2015;PT;ES;568400
2015;SK;PL;403539.6641
2015;SK;AT;548138.9037
2015;SK;CZ;315477.81
2015;SK;HU;164284.1488
2015;HU;AT;592299.6108
2015;HU;SK;164284.1488
2015;HU;SI;435046.0795
2015;HU;HR;420505.3745
2015;HU;RO;399504.3858
2015;HU;RS;342454.1608
2015;SI;IT;427272.9872
2015;SI;AT;215686.1224
2015;SI;HU;435046.0795
2015;SI;HR;124972.7145
2015;HR;IT;549476.7599
2015;HR;HU;420505.3745
2015;HR;SI;124972.7145
2015;HR;BA;246904.4733
2015;HR;RS;469020.1644
2015;RO;HU;399504.3858
2015;RO;BG;333366
2015;RO;RS;385758.4619
2015;BG;RO;333366.0424
2015;BG;GR;467000
2015;BG;MK;298391
2015;BG;RS;342009.3003
2015;BG;TR;991122.9
2015;GR;IT;1390500
2015;GR;BG;467000
2015;GR;AL;290000
2015;GR;MK;270000
2015;GR;TR;1537065
2015;GR;CY;1425000
2015;IE;UK;599364.9205
2015;LU;DE4-W;134659.7528
2015;LU;BE;190597.0228
2015;LU;FR;491522.6477
2015;AL;IT;968133
2015;AL;GR;290000
2015;AL;ME;202721.1714
2015;AL;MK;176585.6
2015;AL;RS;343228.9412
2015;ME;IT;857266.4755
2015;ME;AL;202721.2
2015;ME;BA;179897.0088
2015;ME;RS;184223.1731
2015;MK;BG;298391
2015;MK;GR;270000
2015;MK;AL;176585.6
2015;MK;RS;289529.2463
2015;BA;HR;246904.4733
2015;BA;ME;179897.0088
2015;BA;RS;240605.3142
2015;RS;HU;342454.1608
2015;RS;HR;469020.1644
2015;RS;RO;385758.4619
2015;RS;BG;342009.3
2015;RS;AL;343228.9
2015;RS;ME;184223.1731
2015;RS;MK;289529.2
2015;RS;BA;240605.3142
2015;TR;BG;991122.9
2015;TR;GR;1537065
2015;TR;CY;778000.3
2015;MT;IT;1182545
2015;CY;GR;1425000
2015;CY;TR;778000.3
2016;DK1;DK2;509574
2016;DK1;DE4-N;568371
2016;DK1;NL;842800
2016;DK1;NO2;695800
2016;DK1;SE3;774161
2016;DK1;UK;1195600
2016;DK2;DK1;509574
2016;DK2;DE4-E;568371
2016;DK2;SE4;421379
2016;FIN;NO4;568371
2016;FIN;SE1;568371
2016;FIN;SE3;793760
2016;FIN;EE;676200
2016;DE4-E;DK2;568371
2016;DE4-E;DE4-N;568371
2016;DE4-E;DE4-S;568371
2016;DE4-E;DE4-W;568371
2016;DE4-E;SE4;842800
2016;DE4-E;PL;568371
2016;DE4-E;CZ;304054
2016;DE4-N;DK1;568371
2016;DE4-N;DE4-E;568371
2016;DE4-N;DE4-W;568371
2016;DE4-N;NO2;1185800
2016;DE4-N;SE4;842800
2016;DE4-S;DE4-E;568371
2016;DE4-S;DE4-W;568371
2016;DE4-S;BE;539000
2016;DE4-S;FR;568400
2016;DE4-S;CH;126689
2016;DE4-S;AT;487753
2016;DE4-S;CZ;430743
2016;DE4-W;DE4-E;568371
2016;DE4-W;DE4-N;568371
2016;DE4-W;DE4-S;568371
2016;DE4-W;NL;568371
2016;DE4-W;BE;568371
2016;DE4-W;LU;134659.7528
2016;NL;DK1;842800
2016;NL;DE4-W;568371
2016;NL;UK;872200
2016;NL;BE;450800
2016;NO1;NO2;509574
2016;NO1;NO3;568371
2016;NO1;NO5;519374
2016;NO1;SE3;568371
2016;NO2;DK1;695800
2016;NO2;DE4-N;1185800
2016;NO2;NO1;509574
2016;NO2;NO5;489975
2016;NO2;UK;1215200
2016;NO3;NO1;568371
2016;NO3;NO4;568371
2016;NO3;NO5;509574
2016;NO3;SE2;568371
2016;NO4;FIN;568371
2016;NO4;NO3;568371
2016;NO4;SE1;489975
2016;NO4;SE2;538973
2016;NO5;NO1;519374
2016;NO5;NO2;489975
2016;NO5;NO3;509574
2016;SE1;FIN;568371
2016;SE1;NO4;489975
2016;SE1;SE2;568371
2016;SE2;NO3;568371
2016;SE2;NO4;538973
2016;SE2;SE1;568371
2016;SE2;SE3;568371
2016;SE3;DK1;774161
2016;SE3;FIN;793760
2016;SE3;NO1;568371
2016;SE3;SE2;568371
2016;SE3;SE4;568371
2016;SE3;EE;999600
2016;SE3;LV;999600
2016;SE4;DK2;421379
2016;SE4;DE4-E;842800
2016;SE4;DE4-N;842800
2016;SE4;SE3;568371
2016;SE4;LT;989800
2016;SE4;PL;862400
2016;UK;DK1;1195600
2016;UK;NL;872200
2016;UK;NO2;1215200
2016;UK;BE;401800
2016;UK;FR;735000
2016;UK;IE;599364.9205
2016;EE;FIN;676200
2016;EE;SE3;999600
2016;EE;LV;450800
2016;LV;SE3;999600
2016;LV;EE;450800
2016;LV;LT;450800
2016;LT;SE4;989800
2016;LT;LV;450800
2016;LT;PL;568371
2016;PL;DE4-E;568371
2016;PL;SE4;862400
2016;PL;LT;568371
2016;PL;CZ;177364
2016;PL;SK;403539.6641
2016;BE;DE4-S;539000
2016;BE;DE4-W;568371
2016;BE;NL;450800
2016;BE;UK;401800
2016;BE;FR;568400
2016;BE;LU;190597.0228
2016;FR;DE4-S;568400
2016;FR;UK;735000
2016;FR;BE;568400
2016;FR;IT;735000
2016;FR;CH;278716
2016;FR;ES;735000
2016;FR;LU;491522.6477
2016;IT;FR;735000
2016;IT;CH;931165
2016;IT;AT;487753
2016;IT;SI;427272.9872
2016;IT;HR;549476.7599
2016;IT;GR;1390500
2016;IT;AL;968133
2016;IT;ME;857266.4755
2016;IT;MT;1182545
2016;CH;DE4-S;126689
2016;CH;FR;278716
2016;CH;IT;931165
2016;CH;AT;931165
2016;AT;DE4-S;487753
2016;AT;IT;487753
2016;AT;CH;931165
