"Y";"C";"RRR";"SUBCATEGORY";"UNITS";"value";"Scenario"
"2020";"BELGIUM";"BE";"GENERATION_FUEL_COSTS";"Mmoney";4933.29473452468;"GH2E"
"2020";"BELGIUM";"BE";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00141402289997016;"GH2E"
"2020";"BELGIUM";"BE";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00032189736493595;"GH2E"
"2020";"BELGIUM";"BE";"GENERATION_CO2_TAX";"Mmoney";3957.01422156874;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_CAPITAL_COSTS";"Mmoney";22731.7862348841;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_FIXED_COSTS";"Mmoney";21328.1081452649;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_OPERATIONAL_COSTS";"Mmoney";2294.85483111524;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_FUEL_COSTS";"Mmoney";15485.5638153667;"GH2E"
"2020";"FRANCE";"FR";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00555921600768719;"GH2E"
"2020";"FRANCE";"FR";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000410582001850132;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_CO2_TAX";"Mmoney";10982.7845363906;"GH2E"
"2020";"FRANCE";"FR";"GENERATION_CO2_TRANSPORT";"Mmoney";15.0257485218332;"GH2E"
"2020";"ITALY";"IT";"GENERATION_CAPITAL_COSTS";"Mmoney";33158.3227312467;"GH2E"
"2020";"ITALY";"IT";"GENERATION_FIXED_COSTS";"Mmoney";23003.9207141621;"GH2E"
"2020";"ITALY";"IT";"GENERATION_OPERATIONAL_COSTS";"Mmoney";970.959121424012;"GH2E"
"2020";"ITALY";"IT";"GENERATION_FUEL_COSTS";"Mmoney";18077.4793292707;"GH2E"
"2020";"ITALY";"IT";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000638232428003724;"GH2E"
"2020";"ITALY";"IT";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000463024251530153;"GH2E"
"2020";"ITALY";"IT";"GENERATION_CO2_TAX";"Mmoney";13806.7118770935;"GH2E"
"2020";"SWITZERLAND";"CH";"GENERATION_CAPITAL_COSTS";"Mmoney";1597.67968997543;"GH2E"
"2020";"SWITZERLAND";"CH";"GENERATION_FIXED_COSTS";"Mmoney";1974.82354639474;"GH2E"
"2020";"SWITZERLAND";"CH";"GENERATION_OPERATIONAL_COSTS";"Mmoney";170.498969593653;"GH2E"
"2020";"SWITZERLAND";"CH";"GENERATION_FUEL_COSTS";"Mmoney";1246.65394435673;"GH2E"
"2020";"SWITZERLAND";"CH";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00179306789731712;"GH2E"
"2020";"SWITZERLAND";"CH";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";4.41857787558702e-05;"GH2E"
"2020";"SWITZERLAND";"CH";"GENERATION_CO2_TAX";"Mmoney";1337.84916481032;"GH2E"
"2020";"AUSTRIA";"AT";"GENERATION_CAPITAL_COSTS";"Mmoney";2229.28337024761;"GH2E"
"2020";"AUSTRIA";"AT";"GENERATION_FIXED_COSTS";"Mmoney";2783.88372443209;"GH2E"
"2020";"AUSTRIA";"AT";"GENERATION_OPERATIONAL_COSTS";"Mmoney";415.825175323079;"GH2E"
"2020";"AUSTRIA";"AT";"GENERATION_FUEL_COSTS";"Mmoney";3910.7651922339;"GH2E"
"2020";"AUSTRIA";"AT";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000683888900487429;"GH2E"
"2020";"AUSTRIA";"AT";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00116612754841681;"GH2E"
"2020";"AUSTRIA";"AT";"GENERATION_CO2_TAX";"Mmoney";3780.51225582885;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"GENERATION_CAPITAL_COSTS";"Mmoney";2820.54927515951;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"GENERATION_FIXED_COSTS";"Mmoney";3643.48945058735;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"GENERATION_OPERATIONAL_COSTS";"Mmoney";353.255387024902;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"GENERATION_FUEL_COSTS";"Mmoney";4228.62656982234;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00184998595746563;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000599356098588611;"GH2E"
"2020";"CZECH_REPUBLIC";"CZ";"GENERATION_CO2_TAX";"Mmoney";6668.57831352167;"GH2E"
"2020";"SPAIN";"ES";"GENERATION_CAPITAL_COSTS";"Mmoney";6684.51664226157;"GH2E"
"2020";"SPAIN";"ES";"GENERATION_FIXED_COSTS";"Mmoney";9164.62874294558;"GH2E"
"2020";"SPAIN";"ES";"GENERATION_OPERATIONAL_COSTS";"Mmoney";840.028361330407;"GH2E"
"2020";"SPAIN";"ES";"GENERATION_FUEL_COSTS";"Mmoney";10485.9376197254;"GH2E"
"2020";"SPAIN";"ES";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000746112324489115;"GH2E"
"2020";"SPAIN";"ES";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000470712540571254;"GH2E"
"2020";"SPAIN";"ES";"GENERATION_CO2_TAX";"Mmoney";9993.99323554217;"GH2E"
"2020";"PORTUGAL";"PT";"GENERATION_CAPITAL_COSTS";"Mmoney";248.92983254685;"GH2E"
"2020";"PORTUGAL";"PT";"GENERATION_FIXED_COSTS";"Mmoney";1370.1589827583;"GH2E"
"2020";"PORTUGAL";"PT";"GENERATION_OPERATIONAL_COSTS";"Mmoney";138.359913498692;"GH2E"
"2020";"PORTUGAL";"PT";"GENERATION_FUEL_COSTS";"Mmoney";1555.49948077463;"GH2E"
"2020";"PORTUGAL";"PT";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000172282327597551;"GH2E"
"2020";"PORTUGAL";"PT";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";8.31038856897201e-06;"GH2E"
"2020";"PORTUGAL";"PT";"GENERATION_CO2_TAX";"Mmoney";1829.66058594298;"GH2E"
"2020";"SLOVAKIA";"SK";"GENERATION_CAPITAL_COSTS";"Mmoney";765.638519918854;"GH2E"
"2020";"SLOVAKIA";"SK";"GENERATION_FIXED_COSTS";"Mmoney";1003.55713375193;"GH2E"
"2020";"SLOVAKIA";"SK";"GENERATION_OPERATIONAL_COSTS";"Mmoney";115.41092974238;"GH2E"
"2020";"SLOVAKIA";"SK";"GENERATION_FUEL_COSTS";"Mmoney";1528.81084819597;"GH2E"
"2020";"SLOVAKIA";"SK";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00100396360317656;"GH2E"
"2020";"SLOVAKIA";"SK";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";9.19561409933709e-05;"GH2E"
