"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"HUNGARY";"HU";"SK";"EXOGENOUS";"GW";3.85;"GH2E"
"2020";"HUNGARY";"HU";"SI";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"HUNGARY";"HU";"HR";"EXOGENOUS";"GW";2;"GH2E"
"2020";"HUNGARY";"HU";"RO";"EXOGENOUS";"GW";1;"GH2E"
"2020";"HUNGARY";"HU";"RS";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SLOVENIA";"SI";"IT";"EXOGENOUS";"GW";0.76;"GH2E"
"2020";"SLOVENIA";"SI";"AT";"EXOGENOUS";"GW";0.95;"GH2E"
"2020";"SLOVENIA";"SI";"HU";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"SLOVENIA";"SI";"HR";"EXOGENOUS";"GW";1.5;"GH2E"
"2020";"CROATIA";"HR";"HU";"EXOGENOUS";"GW";2;"GH2E"
"2020";"CROATIA";"HR";"SI";"EXOGENOUS";"GW";1.5;"GH2E"
"2020";"CROATIA";"HR";"BA";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"CROATIA";"HR";"RS";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"ROMANIA";"RO";"HU";"EXOGENOUS";"GW";1.1;"GH2E"
"2020";"ROMANIA";"RO";"BG";"EXOGENOUS";"GW";0.3;"GH2E"
"2020";"ROMANIA";"RO";"RS";"EXOGENOUS";"GW";1;"GH2E"
"2020";"BULGARIA";"BG";"RO";"EXOGENOUS";"GW";0.3;"GH2E"
"2020";"BULGARIA";"BG";"GR";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"BULGARIA";"BG";"MK";"EXOGENOUS";"GW";0.4;"GH2E"
"2020";"BULGARIA";"BG";"RS";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"GREECE";"GR";"IT";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"GREECE";"GR";"BG";"EXOGENOUS";"GW";0.4;"GH2E"
"2020";"GREECE";"GR";"AL";"EXOGENOUS";"GW";0.25;"GH2E"
"2020";"GREECE";"GR";"MK";"EXOGENOUS";"GW";1.1;"GH2E"
"2020";"IRELAND";"IE";"UK";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"LUXEMBOURG";"LU";"DE4-W";"EXOGENOUS";"GW";2.3;"GH2E"
"2020";"LUXEMBOURG";"LU";"BE";"EXOGENOUS";"GW";0.18;"GH2E"
"2020";"ALBANIA";"AL";"GR";"EXOGENOUS";"GW";0.25;"GH2E"
"2020";"ALBANIA";"AL";"ME";"EXOGENOUS";"GW";0.35;"GH2E"
"2020";"ALBANIA";"AL";"MK";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"ALBANIA";"AL";"RS";"EXOGENOUS";"GW";0.65;"GH2E"
"2020";"MONTENEGRO";"ME";"IT";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"MONTENEGRO";"ME";"AL";"EXOGENOUS";"GW";0.35;"GH2E"
"2020";"MONTENEGRO";"ME";"BA";"EXOGENOUS";"GW";0.4;"GH2E"
"2020";"MONTENEGRO";"ME";"RS";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"BG";"EXOGENOUS";"GW";0.1;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"GR";"EXOGENOUS";"GW";0.85;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"AL";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"NORTH_MACEDONIA";"MK";"RS";"EXOGENOUS";"GW";0.65;"GH2E"
"2020";"BOSNIA_AND_HERZEGOVINA";"BA";"HR";"EXOGENOUS";"GW";0.75;"GH2E"
"2020";"BOSNIA_AND_HERZEGOVINA";"BA";"ME";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"BOSNIA_AND_HERZEGOVINA";"BA";"RS";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SERBIA";"RS";"HU";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SERBIA";"RS";"HR";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SERBIA";"RS";"RO";"EXOGENOUS";"GW";0.8;"GH2E"
"2020";"SERBIA";"RS";"BG";"EXOGENOUS";"GW";0.2;"GH2E"
"2020";"SERBIA";"RS";"AL";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"SERBIA";"RS";"ME";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SERBIA";"RS";"MK";"EXOGENOUS";"GW";0.8;"GH2E"
